20070701, 31, 2, 54.4, 179.319630	
20070702, 80, 2, 54.9, 172.632865	
20070703, 37, 3, 57.3, 157.355049	
20070704, 29, 3, 59.6, 123.422502	
20070705, 37, 3, 60.2, 108.453107	
20070706, 64, 3, 59.4, 105.319097	
20070707, 51, 3, 59.8, 116.194016	
20070708, 37, 3, 61.2, 121.792187	
20070709, 36, 2, 61.5, 132.658168	
20070710, 40, 4, 61.2, 137.674701	
20070711, 37, 2, 59.1, 125.504252	
20070712, 32, 4, 56.9, 104.966661	
20070713, 31, 3, 57.0, 102.279520	
20070714, 30, 5, 58.2, 92.490864	
20070715, 36, 6, 59.1, 98.703993	
20070716, 35, 6, 59.6, 103.332373	
20070717, 35, 4, 61.6, 93.915360	
20070718, 39, 4, 63.6, 87.632828	
20070719, 12, 63, 74.8, 2.007822	
[[1.0, -0.426, 0.373], [-0.426, 1.0, -0.942], [0.373, -0.942, 1.0]]	
